,business_id,cool,date,funny,review_id,stars,text,type,useful,user_id
15,JwUE5GmEO-sH1FuwJgKBlQ,0,2011-12-29,2,SSlO5u2nIJ8PoAKAgN5m3Q,5,"Yeah, thats right a five freakin star rating.  

Five Star Truck Stop Dining At Its Finest.

Be prepared to eat.  

I was first introduced to the Pine Cone at its Johnson Creek location years ago and freaked out at the size of the awesome, delicious desserts.   Then on a recent road trip someone mentioned about eating at the Pine Cone, I thought is there really more than one?  I looked out the window to see exactly where we were at and it wasn't near Johnson Creek -- when we arrived, and I saw the bakery....I knew I was home.

It was near dinner time so I ordered stuffed chicken breast.  The dinner roll alone is a meal.  I can't say enough about dinner.  Everything is homemade. They don't add alot of salt, if any.  You can tell its fresh.  Its plentiful.  Its cheap.  You literally can stuff yourself for next to nothing.

You can't possibly leave this place without indulging on some bakery goods to take home, IF they can make it home.  In our case, they were safely packed in the trunk for our safety and yours.  The last thing we need to explain to the police is we were under the influence of bakery goods from the Pine Cone.",review,5,Au3Qs-AAZEWu2_4gIMwRgw
18,JwUE5GmEO-sH1FuwJgKBlQ,1,2012-02-13,2,rgM9f8Xh6ySclVoOSR8MXw,5,"i rarely give five star reviews but for what this restaurant is, it's pretty perfect.  i've only eaten breakfast here (twice in the last three weeks) and the eggs are cooked perfectly, the sourdough toast is made in the kitchen and is delicious, and the bacon was perfectly crispy.  the hashbrowns are the best i've had in a long time - perfectly crispy on the outside and fluffy inside.  the pancakes are huge and light and amazing.  the cinnamon rolls taste just as good as they look.

prices are right on, baked goods are pretty great.  service is fast and friendly - really fast.  i haven't had to wait more than 5 minutes to get my meal.  i might be in the honeymoon phase, but perfectly cooked poached eggs or over easy eggs are hard to come by!  it shouldn't be an anomaly to discover well cooked food, but i suppose it is.  sure it's a ""greasy spoon"" but how many greasy spoons bake their own bread?  can't recommend this place enough for great breakfasts.",review,4,MPKMK36Xp0GuaWaXlUwZ8Q
26,JwUE5GmEO-sH1FuwJgKBlQ,0,2013-10-28,1,DAFwq9T6sKDYiyQHiAzVbQ,5,Some times Jane and Michael Stern are on point and other times the story of the place beats the food.  I would definitely return to the Pine Cone.  It's a bakery and diner attached to a truck stop on the Wisconsin highway.  I live in Chicago and work in a famous Mexican restaurant and I get up to Wisconsin for the old school steak and butter as much as possible: it gives me the energy to do my job.  Pine Cone has eclairs and cream puffs the size of my cat.  And I got a pig cookie.  This little truck stop gives me the big energy to get even deeper into steak and butter territory.,review,0,nJ_6gzvBj0mF943eWZ0cSw
46,LRKJF43s9-3jG9Lgx4zODg,1,2010-01-05,1,iEkq9MFkcop1_CVnl-INSA,5,"Go-to meal: cheddar butter burger, fried cheese curds, and flavor of the day custard.

The difference between a deluxe burger and cheddar butter burger is that in the deluxe, you'll get American cheese.  And you have to pay 25 cents extra to add lettuce, tomato, etc. to the cheddar butter burger.  File that away in your memory bank.",review,0,2sklUYBnk7LxzM-11yPUPg
103,_wZTYYL7cutanzAnJUTGMA,2,2009-02-01,2,XQ8-CgwKZ6_dUnEiqbC-bw,5,"What could I possibly say about the Beach House Restaurant and Lounge?  I guess I could think of a few things.

I went there today for the first time and was dazzled by the charm it flaunted, while still maintaining the gritty edge of a backwoods Wisconsin eatery.  Let's not get it twisted folks, we're not breaking gastronomic ground here.  What we are breaking are your misconceptions of what a restaurant can be whose parking lot is largely composed of Chevy and Dodge trucks, and whose front, snow-covered, lawn is full of snowmobiles.  Deal with it kids, this is that slice of Midwest Americana you've been looking for in any number of wayside eateries in rural America.  Fish fry anyone?

To begin, let me explain that one of the many draws for the Beach House's patrons is the fact that it is still legal to smoke indoors in McFarland.  I stepped inside and was immediately made aware of this fact as plumes of smoke took up residence in my clothes and nose.  

Do not fear, however, there is a separate dining room that is nonsmoking.  And man was this separate dining room packed (Superbowl Sunday).  Packed with large women squeezing into convention center chairs.  Packed with waitresses who wore skin tight white Jordache jeans, giving you a fleeting sense of their giving nature.  Packed with the eager anticipation of an entire day spent watching football and football-related activities: drooling, eating, drinking, and smoking.  God bless America.

The AM dish to get here is the Walleye and eggs breakfast.  I would tend to agree, although their limited selection of omelets is made marginally more tasty by the addition of broccoli (you heard me punk).  As breakfast wore on, the dining room filled, emptied, and filled again; the waitstaff eagerly setting new places, removing paper place settings, calling people darlin' and hon'(always appreciated).

So give it to me hard backwoods Wisconsin.  Give me every sinew of your being: your ice fishing, snowmobiling, smoking, bloody Mary drinking, being.  Just be.  And give me a friggin' huge piece of deep fried walleye to help me digest the spectacle, with scrambled eggs on the side.  And don't you dare forget the tartar sauce.",review,4,idQx85xfiIm_SGTnDsaXcQ
154,UgjVZTSOaYoEvws_lAP_Dw,0,2014-02-18,1,UB48XPeYsvvWzYXeV7WsaA,5,"Main Moon is hand's down my favorite place to grab Chinese in McFarland, but really anywhere. No matter what time of day, day of the week, or week of the year - it only takes 15 minutes to get your food. Freshly made each time too. Don't order from the pictures, order from you heart. The staff is so friendly, I'm thinking about proposing in the near future, as I hope to be a part of their family like they've been a part of mine. I just can't even talk about the lunch buffet, I'll start tearing up with how amazing the deal is. Andddd, I just shed a tear. Yum yum yum in my tum tum tum. Miss you, Main Moon xoxox",review,2,hvSlzpUUdKq7qO8uvwPqOQ
159,HxPpZSY6Q1eARuiahhra6A,2,2013-03-02,1,Hufi0DEjKKyGiCu41DA07A,5,"Wendy C., how can you review a place that you've never been to? I'm sure the Great Barrier Reef is worth a 5 star review, but I can't give it only 3 stars because its inconvenient (or any review for that matter). 

Anyway...saw Crandalls in Madison Magazine and the photos stood out to me. I didn't want to drive to the East Side for the Esquire Club. I was reluctant to try take out fish fry because I was worried about fried food getting soggy. 

I gave it a shot and I was impressed! 

First, the fish to beading ratio was really good. Big thick pieces of flaky fish with a dense, probably corn meal based, and crumb-style breaking (as opposed to the extra greasy tempura- style batter). It was nice and crunchy and the breading stayed that way on my 5-10 minute drive home. Tip: crack the styrofoam container to let the steam out for extra insurance against soggy fish. Served with a lemon. 

The fries were coated in something that made them extra crispy and they had a good seasoning. 

The slaw had good flavor but lots of dressing. Purists might say it was over dressed; others might say its just right. 

Tarter sauce was a little sweet and tangy, which was good contrast with the fish. The server gladly gave me extra. 

The bun was just as you would expect from a supper club, cheap, white, and doughy. Served with a butter chip. 

Everything was served together in a box; everything you need except several icy cold beers.

The service was fine. The take out window was nice. It takes a few minutes for the order but I think they fry-to-order which is well worth it to me and a big plus. Any you cut it, it takes less time than waiting in line for dine in Friday Fish Fry.

A little spendy for take out fish fry ringing up at over $25 for two dinners. That would be more than fair if I could park my fat ass there all night and eat all-you-can-eat. 

It's worth it though and I'll be back.",review,2,4AGRXB5C588iitXZY-y3wQ
220,9brW55Vzyi3ItboHWfoepg,1,2013-04-02,1,N-0xuc5iePJ6hJ0VnSHN5Q,5,"I love Zimbrick Acura. I love every Zimbrick in the city for that matter. I have never had a bad experience here. I have come here for every little item I needed done and have never felt cheated or had the blanket pulled over my eyes. There have been a few things where I was expecting a HUGE bill for things like the stabilizer for my rear suspension that had been slightly bent. I bought a new one and brought it in thinking well Labor will be $100. Zimbrick got me right in, said it would take an hour, had it out in half an hour and didn't charge me a dime. Another time I have come in expecting to replace all my breaks and rotors and Zimbrick saved me about $300 without having to replace everything. 

I have worked with a few guys here and they have ALL been extremely professional and treated me like family. The guy I usually go to even just chats with me about cars and such while i'm having service done. (Mainly getting my oil changed). The facility itself is nothing less than perfection, in my opinion, when it comes to dealerships. It is clean, well layed out, they have a great lounge with a Big Screen TV, leather chairs, FREE WIFI, and the best of all... Free Starbucks Coffee. I have had nothing but great experiences from Zimbrick and not just Zimbrick Acura. However, BECAUSE of Zimbrick Acura I expect to buy another Acura and stay with them for a VERY very long time. Thank you Zimbrick Acura! YOU GUYS ARE THE BEST OF THE BEST.

P.S. When I was having major service done they let me choose what I wanted to drive while I waited for the day.  NOBODY does that. So I had some fun with a brand new TL one day on a secret ""test"" road Zimbrick European showed me when I was buying my car just off Rimrock Road.",review,1,Jpb5uSnlLKD4RJzk7UGwkQ
221,9brW55Vzyi3ItboHWfoepg,0,2013-07-30,1,fkFP5xIO9x7EwptpRcdAnQ,5,"This is going to sound very weird:  I actually look forward to bringing my Acura in for service here.  There.  I said it.  Why? They are extremely efficient, and they manage to make me feel like a rockstar every time I go in.  Now, I love my little Acura--but having a fling with one of the brand spanking new, sporty little numbers they provide as loaners makes the whole experience feel adventurous and decadent.  Even though I'm dropping lots of moulah on a brake job.  And I have to give the car back.",review,1,OtpHvQFGbZ4sONaQAXankg
286,ShEYKerTwb2LSORE5o_s7A,1,2009-05-05,1,1uz83OilC0giQQ_Zh6zVww,5,"I've been back here several times since my first review, and have been continually impressed with Prairie. The food is always spot on and the atmosphere is so comfortable. The cafe sandwiches take one step towards gourmet--the tuna and egg salads are made in-house with a little twist from the same old. All are served with a choice of side; I favor the black bean and corn salad. Breakfast is no exception to Prairie's perfection--my scrambled eggs with spinach and pesto were fresh and filling. And it's hard to go wrong with any of the real fruit smoothies or coffee drinks. Prairie is exactly the way a cafe should be.",review,1,CdKX95dMySpzWX4XQ2k01A
